offer_id,title,brand,product_type,exclude_reason
"S-GLXS4BA3010,S-AWST30LU1310A",SOLACE 2.5 Ton 14.3 SEER2 R-32 Air Conditioning System with Wall-Mounted Air Handler 10KW heat kit,Solace,solace,Brand not allowed: Solace
"RP14AY48AJ2NA, RH2TY4821STANNJ, WRX10021",Rheem R-454B 4.0 Ton 14.3 SEER2 Complete Heat Pump System 10kW,Rheem,rheem,Title indicates parts/supplies
"S-GLZS4BA6010,S-GR9S801005CNA,S-CAPTA6030C3",SOLACE 5 Ton 14.3 SEER2 R-32 80% AFUE Dual Fuel System (Upflow Coil),Solace,goodman 1,Brand not allowed: Solace
"S-GLZS4BA3610,S-GR9S920603BNA,S-CAPTA3626B3",SOLACE 3 Ton 14.3 SEER2 R-32 92% AFUE Dual Fuel System (Upflow Coil),Solace,goodman 1,Brand not allowed: Solace
C165+NKIT,UEi C165+NKIT Combustion Analyzer Kit with NOx Sensor and Printer,UEI,tools,Brand not allowed: UEI
MSL5825,"5/8"" x 3/8"" 25ft Mini-split",Ptubes Linesets,hvac parts supplies,Brand not allowed: Ptubes Linesets
MPA52700050001,">B< Maxipro 5/8"" Straight Coupler",Conex Bänninger,hvac parts supplies,Brand not allowed: Conex Bänninger
CE6106,6x10x6 Center End Boot,Gray Metal Products,hvac parts supplies,Brand not allowed: Gray Metal Products
S-CAPTA6030C3,Solace 5 Ton R-32 Upflow Evaporator Coil - S-CAPTA6030C3,Solace,solace,Brand not allowed: Solace
"GZV6SA3610, AHVE36CP1300, HKTSN10X1, GTST-CW-WH-A",GOODMAN 3 Ton 16.2 SEER2 R-32 Heat Pump System with Multi-Positional Air Handler,Goodman,goodman 1,Title indicates parts/supplies
S-AWST18SU1305A,Solace 1.5 Ton R-32 Wall-Mount Air Handler - S-AWST18SU1305A,Solace,solace,Brand not allowed: Solace
S-GXV6SS4210,Solace 3.5 Ton 16.2 SEER2 R-32 Air Conditioner - S-GXV6SS4210,Solace,solace,Brand not allowed: Solace
3WAY148,14 x 8 3 Way Stamped Face Register White,Airscape,hvac parts supplies,Brand not allowed: Airscape
"RP15AY18AJ2NA, R921T0403A17M4SNAS, RCFY2417STANMC",Rheem 1.5 Ton Dual Fuel System - 15.2 SEER2 Heat Pump & 92% AFUE Furnace - R-454B,Rheem,rheem,Title indicates parts/supplies
828651421745752099,"SOLACE 4 Ton 17.5 SEER2 R-32 80% AFUE 80,000 BTU Dual Fuel System (Horizontal Coil)",Solace,,Brand not allowed: Solace
"RP14AY24AJ2NA, R921T0403A17M4SNAS, RCFY2417STANMC","Rheem 2.0 Ton Heat Pump System 14.3 SEER2 with 40,000 BTU 92% AFUE Furnace - R-454B",Rheem,rheem,Title indicates parts/supplies
FRG1420,14 x 20 Floor Return Grille Brown,Airscape,hvac parts supplies,Brand not allowed: Airscape
ASPLEN,A Width Gas Furnace Supply Plenum (13.25 X 19.63 X 36),,hvac parts supplies,Brand not allowed: BLANK
"RP15AY42AJ2NA, RH2VY4821STACNJ, WRX10021",Rheem R-454B 3.5 Ton 16 SEER2 Complete Heat Pump System 10kW,Rheem,rheem,Title indicates parts/supplies
UNIICM2812,Single-Stage Multi-Speed Gas Furnace UNIICM2812,Sauerman,hvac parts supplies,Brand not allowed: Sauerman
18074202755441882049,"SOLACE 1.5 Ton 16.2 SEER2 R-32 80% AFUE 60,000 BTU Gas Furnace Air Conditioning System (Upflow Coil)",Solace,,Brand not allowed: Solace
SLH412,"4"" Line Hide Kit Off-White 12' Tall",Sauerman,hvac parts supplies,Brand not allowed: Sauerman
8412937515318405028,Goodman 5 Ton R-32 Heat Pump Condenser - GZV6SA6010,Goodman,,Title indicates parts/supplies
188WIRE,18-8 Low Voltage Wire 250' Roll,,hvac parts supplies,Brand not allowed: BLANK
GLZS5BA6010,GOODMAN 5 Ton 15.2 SEER2 R-32 Heat Pump — GLZS5BA6010,Goodman,goodman 1,Title indicates parts/supplies
"RP14AY30AJ2NA, RH2TY3617STANNJ, WRX07521",Rheem R-454B 2.5 Ton 14.3 SEER2 Complete Heat Pump System 7.5kW,Rheem,rheem,Title indicates parts/supplies
"S-GLZS4BA1810,S-GR9S800403ANA,S-CHPTA2426B3",SOLACE 1.5 Ton 14.3 SEER2 R-32 80% AFUE Dual Fuel System (Horizontal Coil),Solace,goodman 1,Brand not allowed: Solace
S-GPGM53008031,Solace 2.5 Ton 15.2 SEER2 Packaged Gas/Electric - S-GPGM53008031,Solace,solace,Brand not allowed: Solace
14245645741184204640,"SOLACE 3.5 Ton 17.5 SEER2 R-32 80% AFUE 80,000 BTU Dual Fuel System (Upflow Coil)",Solace,,Brand not allowed: Solace
"RP15AY18AJ2NA, RH2TY2417STANNJ, WRX05021",Rheem R-454B 1.5 Ton 15.2 SEER2 Complete Heat Pump System 5kW,Rheem,rheem,Title indicates parts/supplies
"S-GLXS4BA4210,S-AMST42CU13",SOLACE 3.5 Ton 14.3 SEER2 R-32 Air Conditioning System with Multi-Positional Air Handler,Solace,solace > air conditioning systems > 3 5 ton,Brand not allowed: Solace
R818,"18"" R-8 Flex",Quality Flex,hvac parts supplies,Brand not allowed: Quality Flex
"S-GLXS4BA4810,S-AMST48CU13",SOLACE 4 Ton 14.3 SEER2 R-32 Air Conditioning System with Multi-Positional Air Handler,Solace,solace,Brand not allowed: Solace
16SW90,"16"" Singlewall Adjustable 90 Degree Elbow",Gray Metal Products,hvac parts supplies,Brand not allowed: Gray Metal Products
CAP75MF,7.5 MF / 440 VA 440V 7.5 MFD HVAC Capacitor,Hartland Controls,hvac parts supplies,Brand not allowed: Hartland Controls
MPA52700020001,">B< Maxipro 1/4"" Straight Coupler",Conex Bänninger,hvac parts supplies,Brand not allowed: Conex Bänninger
12141112918501944041,"SOLACE 5 Ton 17.5 SEER2 R-32 96% AFUE 100,000 BTU Dual Fuel System (Upflow Coil)",Solace,,Brand not allowed: Solace
S-CAPTA2422B3,Solace 2 Ton R-32 Upflow Evaporator Coil - S-CAPTA2422B3,Solace,solace,Brand not allowed: Solace
"S-GLXT7CA4810,S-CHPTA6030D3,S-GRVT800804CN","SOLACE 4 Ton 17.2 SEER2 R-32 80% AFUE 80,000 BTU Gas Furnace Air Conditioning System (Horizontal Coil)",Solace,solace,Brand not allowed: Solace
C165+OILKIT,UEi C165+OILKIT Combustion Analyzer Kit for Oil-Fired Appliances with Printer,UEI,tools,Brand not allowed: UEI
END310,"End Cap Only (3.25 X 10) 25"" x 10"" HVAC Duct",,hvac parts supplies,Brand not allowed: BLANK
S-GPGM36012031,Solace 5 Ton 13.4 SEER2 Packaged Gas/Electric - S-GPGM36012031,Solace,solace,Brand not allowed: Solace
GAS12UN,½” Unions,,hvac parts supplies,Brand not allowed: BLANK
FTXC09AXVJU,Daikin ENTRA Series 9K BTU Hi-Wall Fan Coil,Daikin,daikin,Brand not allowed: Daikin
"S-GLXS5BA1810,S-GR9S920403ANA,S-CHPTA2426B3",SOLACE 1.5 Ton 15.2 SEER2 R-32 92% AFUE Gas Furnace Air Conditioning System (Horizontal Coil),Solace,solace,Brand not allowed: Solace
12TRACRL,1/2” Trac Pipe 100' Roll,,hvac parts supplies,Brand not allowed: BLANK
SAFT01,RectorSeal SS2 Condesation Overflow Switch for the Auxiliary Port of the Coil Primary Drain Pan,,hvac parts supplies,Brand not allowed: BLANK
RP14AY60AJ2NA,RHEEM 5.0 Ton 14.3 SEER2 Two-Stage Heat Pump,Rheem,rheem,Title indicates parts/supplies
CAP125MF,12.5 MF / 440 VA 440V 12.5 MFD HVAC Capacitor,Hartland Controls,hvac parts supplies,Brand not allowed: Hartland Controls
CT-200,HydroBalance Ever-Clean Condensate Pan Tabs 200 Count Jar,HydroBalance,hvac parts supplies,Brand not allowed: HydroBalance
11623819713664507931,GOODMAN 5 Ton Variable Capacity 17.5 SEER2 R-32 80% AFUE Dual Fuel System with ComfortNet Smart Thermostat (Upflow Coil),Goodman,,Title indicates parts/supplies
GASNIP122,1/2” x 2” fitting,,hvac parts supplies,Brand not allowed: BLANK
10-406-ASD,"10"" Saddle Collar with Scoop and Damper",,hvac parts supplies,Brand not allowed: BLANK
FRG148,14 x 8 Floor Return Grille Brown,Airscape,hvac parts supplies,Brand not allowed: Airscape
COUP34,"3/4 "" Copper Coupling",American Air Components,hvac parts supplies > copper fittings solder refrigerant accessories,Brand not allowed: American Air Components
1290LTFIT,"1/2"" 90 Degree Liquid Tite fitting",,hvac parts supplies,Brand not allowed: BLANK
DT302,Dual Input Logging Thermometer,UEI,tools,Brand not allowed: UEI
S-GPGM33004031,Solace 2.5 Ton 13.4 SEER2 Packaged Gas/Electric - S-GPGM33004031,Solace,solace,Brand not allowed: Solace
S-AWST18SU1303A,Solace 1.5 Ton R-32 Wall-Mount Air Handler - S-AWST18SU1303A,Solace,solace,Brand not allowed: Solace
S-GXV6SS3610,Solace 3 Ton 16.2 SEER2 R-32 Air Conditioner - S-GXV6SS3610,Solace,solace,Brand not allowed: Solace
10434476947625246329,GOODMAN 2 Ton Variable Capacity 17.5 SEER2 R-32 80% AFUE Dual Fuel System with ComfortNet Smart Thermostat (Upflow Coil),Goodman,,Title indicates parts/supplies
PF1820,18x20x1” Pleated Filter,GlassFloss,hvac parts supplies,Brand not allowed: GlassFloss
GPHH36031,Goodman 2 Ton 13.4 SEER2 Packaged Heat Pump - GPHH36031,Goodman,goodman 1,Title indicates parts/supplies
ZC-01,HydroBalance Zip Foam Condenser Cleaner Aerosol 18oz NetWt,HydroBalance,hvac parts supplies,Brand not allowed: HydroBalance
ROSSLV10,"Rossi 10"" Sleeve - Manual Damper",Rossi,hvac parts supplies,Brand not allowed: Rossi
"S-GXV6SS3010,S-AHVE36CP1300,S-GTST-CW-WH-A",SOLACE 2.5 Ton 16.2 SEER2 R-32 Air Conditioning System with Multi-Positional Air Handler,Solace,solace,Brand not allowed: Solace
RECT122448,"Trunk Line Without End Caps (12 X 24 X 48) 12"" x 24"" x 48"" HVAC Duct",,hvac parts supplies,Brand not allowed: BLANK
S-GRVT960403BN,"Solace 40,000 BTU 96% AFUE Gas Furnace - S-GRVT960403BN",Solace,solace,Brand not allowed: Solace
RSWG148,14 x 8 Stamp Faced Sidewall/Ceiling Return Grille White,Airscape,hvac parts supplies,Brand not allowed: Airscape
184WIRE300,18-4 Thermostat Wire 300' Roll,,hvac parts supplies > wire electrical accessories,Brand not allowed: BLANK
"S-GLZS4BA3010,S-GR9S920603BNA,S-CAPTA3626B3",SOLACE 2.5 Ton 14.3 SEER2 R-32 92% AFUE Dual Fuel System (Upflow Coil),Solace,goodman 1,Brand not allowed: Solace
"S-GLXS5BA3010,S-GR9S920603BNA,S-CHPTA3026B3",SOLACE 2.5 Ton 15.2 SEER2 R-32 92% AFUE Gas Furnace Air Conditioning System (Horizontal Coil),Solace,solace,Brand not allowed: Solace
4EAVE,"4"" WHITE PLASTIC EAVE Cap with 3"" Long Metal Collar on back",Builders Best,hvac parts supplies,Brand not allowed: Builders Best
182WIRE,18-2 Low Voltage Wire 500' Roll,,hvac parts supplies,Brand not allowed: BLANK
ROSSI10,"Rossi 10"" Complete Manual Damper",Rossi,hvac parts supplies > collars,Brand not allowed: Rossi
S-GRVT961005DN,"Solace 100,000 BTU 96% AFUE Gas Furnace - S-GRVT961005DN",Solace,solace,Brand not allowed: Solace
08-30-300UB,"8” X 24"" Snaplock Singlewall Pipe",Gray Metal Products,hvac parts supplies,Brand not allowed: Gray Metal Products
"GLZS4BA3610, GR9S800604BNA, CAPTA3626B3",GOODMAN 3 Ton 14.3 SEER2 R-32 80% AFUE Dual Fuel Heat Pump System (Upflow Coil),Goodman,goodman 1,Title indicates parts/supplies
JWW81,"5/16"" Flat Washer",,hvac parts supplies,Brand not allowed: BLANK
S-AHVE42CP1300,Solace 3.5 Ton R-32 Air Handler - S-AHVE42CP1300,Solace,solace,Brand not allowed: Solace
"GLZS5BA3010, AWST30SU1310",GOODMAN 2.5 Ton 15.2 SEER2 R-32 Heat Pump System with Wall-Hung Air Handler AND 10kw Heat Kit,Goodman,goodman 1,Title indicates parts/supplies
S-GPGM33608031,Solace 3 Ton 13.4 SEER2 Packaged Gas/Electric - S-GPGM33608031,Solace,solace,Brand not allowed: Solace
H-NT08,Neutronic Odor Neutralizer Gel 0.5 Pound Gel Tub,,hvac parts supplies,Brand not allowed: BLANK
RP15AY24AJ2NA,RHEEM 2.0 Ton 15.2 SEER2 Two-Stage Heat Pump,Rheem,rheem,Title indicates parts/supplies
70033,HEAVY DUTY TUBE CUTTER,Mastercool,tools,Brand not allowed: Mastercool
SPFOAM,Spray Foam,,hvac parts supplies,Brand not allowed: BLANK
S-AWST36LU1305A,Solace 3 Ton R-32 Wall-Mount Air Handler - S-AWST36LU1305A,Solace,solace,Brand not allowed: Solace
GZV6SA1810,Goodman 1.5 Ton R-32 Heat Pump Condenser - GZV6SA1810,Goodman,goodman 1,Title indicates parts/supplies
10-30-300,"10” X 24"" Snaplock Singlewall Pipe",Gray Metal Products,hvac parts supplies,Brand not allowed: Gray Metal Products
"S-GLXS4BA3010,S-GR9S800603ANA,S-CHPTA3026B3",SOLACE 2.5 Ton 14.3 SEER2 R-32 80% AFUE Gas Furnace Air Conditioning System (Horizontal Coil),Solace,solace > split gas systems > 2 5 ton,Brand not allowed: Solace
"RP14AY36AJ2NA, RH2TY3617STANNJ, WRX10021",Rheem R-454B 3.0 Ton 14.3 SEER2 Complete Heat Pump System 10kW,Rheem,rheem,Title indicates parts/supplies
"S-GLXS4BA3610, S-AWST36SU1310",SOLACE 3 Ton 14.3 SEER2 R-32 Air Conditioning System with Wall-Mounted Air Handler 10KW heat kit,Solace,solace,Brand not allowed: Solace
FTXV09AVJU9,Daikin Hi-Wall Style Series 9K BTU Hi-Wall Fan Coil Multi Zone R-32,Daikin,daikin,Brand not allowed: Daikin
S-GR9S920805CN,Solace 92% AFUE Gas Furnace - S-GR9S920805CN,Solace,solace > furnaces > 80k btu,Brand not allowed: Solace
PVCCEM1,"1"" PVC Cement",,hvac parts supplies,Brand not allowed: BLANK
AACL06,"Aprilaire 6"" Round Damper 2 Wire Normally Closed Ventilation Damper...",Aprilaire,hvac parts supplies > aprilaire zoning,Brand not allowed: Aprilaire
"S-GLXS4BA2410,S-GR9S800403ANA,S-CHPTA2426B3",SOLACE 2 Ton 14.3 SEER2 R-32 80% AFUE Gas Furnace Air Conditioning System (Horizontal Coil),Solace,solace,Brand not allowed: Solace
EZPRO-24-HP-23016D-O,EasyPro 5th Generation 24k BTU 230V System,MRCOOL,mrcool > mrcool,Brand not allowed: MRCOOL
S-GPGM54810031,Solace 4 Ton 15.2 SEER2 Packaged Gas/Electric - S-GPGM54810031,Solace,solace,Brand not allowed: Solace
RED87,8-7 Singlewall Reducer,Gray Metal Products,hvac parts supplies,Brand not allowed: Gray Metal Products
"S-GLXT7CA6010,S-CAPTA6030C3,S-GRVT800805CN","SOLACE 5 Ton 17.2 SEER2 R-32 80% AFUE 80,000 BTU Gas Furnace Air Conditioning System (Upflow Coil)",Solace,solace,Brand not allowed: Solace
BBPW,Blue Plastic Boot Wrap Rolls,,hvac parts supplies,Brand not allowed: BLANK
RB142014,"14""x20""x14"" Return HVAC Boot",Gray Metal Products,hvac parts supplies,Brand not allowed: Gray Metal Products
SPY19024,Spyder Mach-Blue 1/4-in 10-Step Drill Bit (1/4-in to 1-3/8-in),Spyder,tools > spyder products > drill bits blades and hole saws,Brand not allowed: Spyder
CS-250,HydroBalance Sta-Clean Pan Strips 1 Strip 3-5 Ton,HydroBalance,hvac parts supplies,Brand not allowed: HydroBalance
"S-GLXT7CA6010,S-CHPTA6030D3,S-GRVT961205DN","SOLACE 5 Ton 17.2 SEER2 R-32 96% AFUE 120,000 BTU Gas Furnace Air Conditioning System (Horizontal Coil)",Solace,solace,Brand not allowed: Solace
H-SA12,Hydrobalance Spray Adhesive 12oz NetWt Can,HydroBalance,hvac parts supplies,Brand not allowed: HydroBalance
"S-GLXS4BA2410,S-GR9S920403ANA,S-CAPTA2422A3",SOLACE 2 Ton 14.3 SEER2 R-32 92% AFUE Gas Furnace Air Conditioning System (Upflow Coil),Solace,goodman 1,Brand not allowed: Solace
ROSSLV12,"Rossi 12"" Sleeve - Manual Damper",Rossi,hvac parts supplies,Brand not allowed: Rossi
CE4148,4x14x8 Center End Boot,Gray Metal Products,hvac parts supplies,Brand not allowed: Gray Metal Products
S-GPGM56014031,Solace 5 Ton 15.2 SEER2 Packaged Gas/Electric - S-GPGM56014031,Solace,solace,Brand not allowed: Solace
CAP4075MF,40/7.5 MF / 440 VA 440V 40+7.5 MFD HVAC Capacitor,Hartland Controls,hvac parts supplies,Brand not allowed: Hartland Controls
SB4148,4x14x8 Straight Boot,Gray Metal Products,hvac parts supplies,Brand not allowed: Gray Metal Products
"S-GLZS4BA2410,S-GR9S800403ANA,S-CAPTA2422A3",SOLACE 2 Ton 14.3 SEER2 R-32 80% AFUE Dual Fuel System (Upflow Coil),Solace,solace,Brand not allowed: Solace
"S-GLXT7CA3610,S-CHPTA3630B3,S-GRVT800603BN","SOLACE 3 Ton 17.2 SEER2 R-32 80% AFUE 60,000 BTU Gas Furnace Air Conditioning System (Horizontal Coil)",Solace,solace,Brand not allowed: Solace
S-AMST48CU13,Solace 4 Ton R-32 Air Handler - S-AMST48CU13,Solace,solace,Brand not allowed: Solace
GZV6SA4810,Goodman 4 Ton R-32 Heat Pump Condenser - GZV6SA4810,Goodman,goodman 1,Title indicates parts/supplies
BFLR144,14 x 4 Floor Register Brown,Airscape,hvac parts supplies,Brand not allowed: Airscape
UEIGNGV,Universal Electronic Ignition Gas Valve,,hvac parts supplies > winter service parts,Brand not allowed: BLANK
GPHH54831,Goodman 4 Ton 15.2 SEER2 Packaged Heat Pump - GPHH54831,Goodman,goodman 1,Title indicates parts/supplies
"S-GZV6SA3010,S-AHVE36CP1300,S-GTST-CW-WH-A",SOLACE 2.5 Ton 16.2 SEER2 R-32 Heat Pump System with Multi-Positional Air Handler,Solace,solace,Brand not allowed: Solace
10COL,Sheet Metal 10COL,Southwark,hvac parts supplies,Brand not allowed: Southwark
13180886676888874325,"SOLACE 3 Ton 17.5 SEER2 R-32 80% AFUE 80,000 BTU Dual Fuel System (Upflow Coil)",Solace,,Brand not allowed: Solace
H-BM01,HydroBalance Black Max Concentrate Condenser Coil Cleaner & Brightener 1 Gallon Bottle,HydroBalance,hvac parts supplies,Brand not allowed: HydroBalance
S-GPHM33031,Solace 2.5 Ton 13.4 SEER2 Packaged Heat Pump - S-GPHM33031,Solace,solace,Brand not allowed: Solace
"GLZS4BA2410, GR9S800403ANA, CHPTA2426B3",GOODMAN 2 Ton 14.3 SEER2 R-32 80% AFUE Dual Fuel Heat Pump System (Horizontal Coil),Goodman,goodman 1,Title indicates parts/supplies
APLENFR,"Furnace Return Air Plenum - A Width (14.5"")",,hvac parts supplies,Brand not allowed: BLANK
6ROOF,6 in. Roof Cap Adapter Sleeve,,hvac parts supplies,Brand not allowed: BLANK
"S-GLXS5BA2410,S-GR9S920403ANA,S-CHPTA2426B3",SOLACE 2 Ton 15.2 SEER2 R-32 92% AFUE Gas Furnace Air Conditioning System (Horizontal Coil),Solace,solace,Brand not allowed: Solace
2PVCC,2” PVC Couplings,American Air Components,hvac parts supplies,Brand not allowed: American Air Components
34PVC45,"34"" ¾” PVC 45",American Air Components,hvac parts supplies,Brand not allowed: American Air Components
R614,"14"" R-6 Flex",Quality Flex,hvac parts supplies,Brand not allowed: Quality Flex
S-GPGM52406031,Solace 2 Ton 15.2 SEER2 Packaged Gas/Electric - S-GPGM52406031,Solace,solace,Brand not allowed: Solace
510KIT,Condensing Unit Install Kit,UEI,tools,Brand not allowed: UEI
S-GPHH53031,Solace 2.5 Ton 15.2 SEER2 Packaged Heat Pump - S-GPHH53031,Solace,solace,Brand not allowed: Solace
"RP15AY24AJ2NA, R921T0403A17M4SNAS, RCFY2417STANMC",Rheem 2.0 Ton Dual Fuel System - 15.2 SEER2 Heat Pump & 92% AFUE Furnace - R-454B,Rheem,rheem,Title indicates parts/supplies
"S-GLZS5BA4210,S-AMST42CU13",SOLACE 3.5 Ton 15.2 SEER2 R-32 Heat Pump System with Multi-Positional Air Handler,Solace,solace,Brand not allowed: Solace
S-GLZS4BA3010,Solace 2.5 Ton 14.3 SEER2 R-32 Heat Pump - S-GLZS4BA3010,Solace,goodman 1,Brand not allowed: Solace
"RP15AY30AJ2NA, RH2TY3617STANNJ, WRX07521",Rheem R-454B 2.5 Ton 15.2 SEER2 Complete Heat Pump System 10kW,Rheem,rheem,Title indicates parts/supplies
GAS34COUP,¾” Couplings,,hvac parts supplies,Brand not allowed: BLANK
S-GXV6SS1810,Solace 1.5 Ton 16.2 SEER2 R-32 Air Conditioner - S-GXV6SS1810,Solace,solace,Brand not allowed: Solace
SPY600913,Spyder Tarantula 3-in Carbide-tipped Non-arbored Hole Saw,Spyder,tools > spyder products > drill bits blades and hole saws,Brand not allowed: Spyder
S-GR9S920804CN,Solace 92% AFUE Gas Furnace - S-GR9S920804CN,Solace,solace > furnaces > 80k btu,Brand not allowed: Solace
S-AWST24SU1308A,Solace 2 Ton R-32 Wall-Mount Air Handler - S-AWST24SU1308A,Solace,solace,Brand not allowed: Solace
S-CAPEA3626B3,Solace 3 Ton R-32 Upflow Evaporator Coil - S-CAPEA3626B3,Solace,solace,Brand not allowed: Solace
C161C,Residential Combustion Analyzer w/ AC509 Carrying Case,UEI,tools,Brand not allowed: UEI
WTOE210,2 x 10 Toe Kick Grille White,Airscape,hvac parts supplies,Brand not allowed: Airscape
"RXC24AXVJU, FTXC24AXVJU",Daikin ENTRA 18 SEER2 24K BTU Heat Pump and 24K BTU Hi-Wall Fan Coil,Daikin,daikin,Brand not allowed: Daikin
S-GR9S920603BN,Solace 92% AFUE Gas Furnace - S-GR9S920603BN,Solace,solace > furnaces > 60k btu,Brand not allowed: Solace
S-GPGM34206031,Solace 3.5 Ton 13.4 SEER2 Packaged Gas/Electric - S-GPGM34206031,Solace,solace,Brand not allowed: Solace
8012225406688243729,"RHEEM R921T0703A17M4SNAS - 70,000 BTU 92% AFUE Single Stage Furnace",,,Brand not allowed: BLANK
GLZS4MA1810,Goodman 1.5 Ton Heat Pump 14.3 SEER2 7.8 HSPF2 Single-Stage R-32 - GLZS4MA1810,Goodman,goodman 1,Title indicates parts/supplies
RP15AY60AJ2NA,RHEEM 5.0 Ton 15.2 SEER2 Two-Stage Heat Pump,Rheem,rheem,Title indicates parts/supplies
PAN3232,32x32 Drain pan with no hole (Upflow Application),,hvac parts supplies > drain pans and mounting accessories,Brand not allowed: BLANK
SPY19020,Spyder Mach-Blue 1/4-in 6-Step Drill Bit (3/16-in to 1/2-in),Spyder,tools > spyder products > drill bits blades and hole saws,Brand not allowed: Spyder
MPA52700060001,">B< Maxipro 3/4"" Straight Coupler",Conex Bänninger,hvac parts supplies,Brand not allowed: Conex Bänninger
"GLZS4BA4810, GR9S800804CNA, CAPTA6030C3",GOODMAN 4 Ton 14.3 SEER2 R-32 80% AFUE Dual Fuel Heat Pump System (Upflow Coil),Goodman,goodman 1,Title indicates parts/supplies
"S-GZV7SA4210,S-AHVE60DP1300,S-GTST-CW-WH-A",SOLACE 3.5 Ton 17.5 SEER2 R-32 Heat Pump System with Multi-Positional Air Handler,Solace,solace,Brand not allowed: Solace
34INSUV,"3/4"" Insulation UV Rated",,hvac parts supplies,Brand not allowed: BLANK
"S-GZV7SA6010,S-AHVE60DP1300,S-GTST-CW-WH-A",SOLACE 5 Ton 17.5 SEER2 R-32 Heat Pump System with Multi-Positional Air Handler,Solace,solace,Brand not allowed: Solace
SB6148,6x14x8 Straight Boot,Gray Metal Products,hvac parts supplies,Brand not allowed: Gray Metal Products
"GLZS4BA4210, AMST42CU13",GOODMAN 3.5 Ton 14.3 SEER2 R-32 Heat Pump System with Multi-Positional Air Handler,Goodman,goodman 1,Title indicates parts/supplies
115VCMBO,115V Switch Receptacle Combo,,hvac parts supplies,Brand not allowed: BLANK
3CONVENT,"3"" CONCENTRIC VENT KIT",,hvac parts supplies,Brand not allowed: BLANK
346WHP,"3/4"" 8AWG 6' non-metallic whip up to 60A 240V",American Air Components,hvac parts supplies,Brand not allowed: American Air Components
S-GLZS4BA2410,Solace 2 Ton 14.3 SEER2 R-32 Heat Pump - S-GLZS4BA2410,Solace,goodman 1,Brand not allowed: Solace
CAP305MF,30/5 MF / 440 VA 440V 30+5 MFD HVAC Capacitor,Hartland Controls,hvac parts supplies,Brand not allowed: Hartland Controls
S-AWST30LU1310A,Solace 2.5 Ton R-32 Wall-Mount Air Handler - S-AWST30LU1310A,Solace,solace,Brand not allowed: Solace
H-NT03,Neutronic Odor Neutralizer Gel 3 Pound Gel Tub,,hvac parts supplies,Brand not allowed: BLANK
"S-GLZS4BA3610,S-GR9S920603BNA,S-CHPTA3630B3",SOLACE 3 Ton 14.3 SEER2 R-32 92% AFUE Dual Fuel System (Horizontal Coil),Solace,goodman 1,Brand not allowed: Solace
6204690209111042976,RHEEM 2.5 Ton 15.2 SEER2 Two-Stage Heat Pump,Rheem,,Title indicates parts/supplies
FMBLK1,"Foam Support Blocks (8 X 8 X 4) 8"" x 8"" x 4""",,hvac parts supplies,Brand not allowed: BLANK
S-GLXT7CA6010,Solace 5 Ton 17.2 SEER2 R-32 Air Conditioner - S-GLXT7CA6010,Solace,solace,Brand not allowed: Solace
RSWG2020,20 x 20 Stamp Faced Sidewall/Ceiling Return Grille White,Airscape,hvac parts supplies,Brand not allowed: Airscape
S-GZV6SA6010,Solace 5 Ton 16.2 SEER2 R-32 Heat Pump - S-GZV6SA6010,Solace,solace,Brand not allowed: Solace
S-CAPTA3022A3,Solace 2.5 Ton R-32 Upflow Evaporator Coil - S-CAPTA3022A3,Solace,solace,Brand not allowed: Solace
FSR-10x6-BRN,"10x6 Brown Floor Supply Register 10"" x 6""",,hvac parts supplies,Brand not allowed: BLANK
"S-GLZS5BA3610, S-AWST36LU1310",SOLACE 3 Ton 15.2 SEER2 R-32 Heat Pump System with Wall-Mounted Air Handler W/10KW Heat Kit,Solace,solace,Brand not allowed: Solace
SB4106,4x10x6 Straight Boot,Gray Metal Products,hvac parts supplies,Brand not allowed: Gray Metal Products
R804,"4"" R-8 Flex",Quality Flex,hvac parts supplies,Brand not allowed: Quality Flex
S-GZV7SA2410,Solace 2 Ton 17.5 SEER2 R-32 Heat Pump - S-GZV7SA2410,Solace,solace,Brand not allowed: Solace
12SHTOF,"1/2"" Shut off Valve",,hvac parts supplies,Brand not allowed: BLANK
S-HKTSN05X1,Solace 5kW Electric Heat Kit - S-HKTSN05X1,Solace,solace,Brand not allowed: Solace
GM3469,TuttoKool Universal Condensing Fan Motor 1/3 to 1/6 208 - 230V 825 ...,,hvac parts supplies,Brand not allowed: BLANK
GASNIP348,3/4” x 8” fitting,,hvac parts supplies,Brand not allowed: BLANK
20A2PBR,20A 2 Pole 230V Breaker,,hvac parts supplies,Brand not allowed: BLANK
GAS12CAP,"1/2"" Cap",,hvac parts supplies,Brand not allowed: BLANK
JTEKD2,"1/4"" Drilling Screws zip screws 100 Count",,hvac parts supplies,Brand not allowed: BLANK
"RP14AY42AJ2NA, R921T0855A21M4SNAS, RCFY4821STANMC","Rheem 3.5 Ton Heat Pump System 14.3 SEER2 with 85,000 BTU 92% AFUE Furnace - R-454B",Rheem,rheem,Title indicates parts/supplies
CAP355MF,35/5 MF / 440 VA 440V 35+5 MFD HVAC Capacitor,Hartland Controls,hvac parts supplies,Brand not allowed: Hartland Controls
2MXM18AVJU9,Daikin MXM 18K BTU 2-Zone Heat Pump R-32,Daikin,daikin,Brand not allowed: Daikin
