brand,product_id,sku,product_name,image_id,image_url,field_changed,before,after,status,error
Goodman,2561,GLXS4BA1810,Goodman GLXS4BA1810 1.5 Ton R-32 Air Conditioner,7344,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2561/images/7344/Goodman-1_5-Ton-14_3-SEER2-Single-Stage-Air-Conditioner-Condenser-GSXB401810-Front-View-3_600x__66072.1681504174.1280.1280__94394.1724185645.1280.1280__79783.1724264562.386.513.jpg?c=1,description,,Goodman GLXS4BA1810 1.5 Ton R 32 Air Conditioner,updated,
Goodman,2561,GLXS4BA1810,Goodman GLXS4BA1810 1.5 Ton R-32 Air Conditioner,7345,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2561/images/7345/Goodman-1_5-Ton-14_3-SEER2-Single-Stage-Air-Conditioner-Condenser-GSXB401810-Front-View-2_600x__12622.1681504174.1280.1280__25490.1724185645.1280.1280__25612.1724264562.386.513.jpg?c=1,description,,Goodman GLXS4BA1810 1.5 Ton R 32 Air Conditioner,updated,
Goodman,2561,GLXS4BA1810,Goodman GLXS4BA1810 1.5 Ton R-32 Air Conditioner,7346,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2561/images/7346/Goodman-1_5-Ton-14_3-SEER2-Single-Stage-Air-Conditioner-Condenser-GSXB401810-Compressor-and-Inside-View-4_600x__92880.1681504174.1280.1280__50112.1724185645.1280.1280__42616.1724264562.386.513.jpg?c=1,description,,Goodman GLXS4BA1810 1.5 Ton R 32 Air Conditioner,updated,
Goodman,2561,GLXS4BA1810,Goodman GLXS4BA1810 1.5 Ton R-32 Air Conditioner,7347,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2561/images/7347/Goodman-1_5-Ton-14_3-SEER2-Single-Stage-Air-Conditioner-Condenser-GSXB401810-Rear-View-6_600x__04699.1681504174.1280.1280__57124.1724185645.1280.1280__48537.1724264562.386.513.jpg?c=1,description,,Goodman GLXS4BA1810 1.5 Ton R 32 Air Conditioner,updated,
Goodman,2562,GLXS4BA2410,Goodman GLXS4BA2410 2 Ton R-32 Air Conditioner,7348,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2562/images/7348/1724264562.1280.1280__44195.1724264749.386.513.jpg?c=1,description,,Goodman GLXS4BA2410 2 Ton R 32 Air Conditioner,updated,
Goodman,2562,GLXS4BA2410,Goodman GLXS4BA2410 2 Ton R-32 Air Conditioner,7349,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2562/images/7349/1724264562.1280.1280__19177.1724264749.386.513.jpg?c=1,description,,Goodman GLXS4BA2410 2 Ton R 32 Air Conditioner,updated,
Goodman,2562,GLXS4BA2410,Goodman GLXS4BA2410 2 Ton R-32 Air Conditioner,7350,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2562/images/7350/1724264562.1280.1280__18730.1724264749.386.513.jpg?c=1,description,,Goodman GLXS4BA2410 2 Ton R 32 Air Conditioner,updated,
Goodman,2562,GLXS4BA2410,Goodman GLXS4BA2410 2 Ton R-32 Air Conditioner,7351,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2562/images/7351/1724264562.1280.1280__45986.1724264749.386.513.jpg?c=1,description,,Goodman GLXS4BA2410 2 Ton R 32 Air Conditioner,updated,
Goodman,2562,GLXS4BA2410,Goodman GLXS4BA2410 2 Ton R-32 Air Conditioner,7352,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2562/images/7352/1724264562.1280.1280__51535.1724264749.386.513.jpg?c=1,description,,Goodman GLXS4BA2410 2 Ton R 32 Air Conditioner,updated,
Goodman,2562,GLXS4BA2410,Goodman GLXS4BA2410 2 Ton R-32 Air Conditioner,7353,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2562/images/7353/1724264562.1280.1280__81397.1724264749.386.513.png?c=1,description,,Goodman GLXS4BA2410 2 Ton R 32 Air Conditioner,updated,
Goodman,2563,GLXS4BA3010,Goodman GLXS4BA3010 2.5 Ton R-32 Air Conditioner,7354,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2563/images/7354/1724264562.1280.1280__45986.1724264749.1280.1280__39568.1724269141.386.513.jpg?c=1,description,,Goodman GLXS4BA3010 2.5 Ton R 32 Air Conditioner,updated,
Goodman,2563,GLXS4BA3010,Goodman GLXS4BA3010 2.5 Ton R-32 Air Conditioner,7355,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2563/images/7355/1724264562.1280.1280__19177.1724264749.1280.1280__06226.1724269141.386.513.jpg?c=1,description,,Goodman GLXS4BA3010 2.5 Ton R 32 Air Conditioner,updated,
Goodman,2563,GLXS4BA3010,Goodman GLXS4BA3010 2.5 Ton R-32 Air Conditioner,7356,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2563/images/7356/1724264562.1280.1280__81397.1724264749.1280.1280__09537.1724269141.386.513.png?c=1,description,,Goodman GLXS4BA3010 2.5 Ton R 32 Air Conditioner,updated,
Goodman,2563,GLXS4BA3010,Goodman GLXS4BA3010 2.5 Ton R-32 Air Conditioner,7357,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2563/images/7357/1724264562.1280.1280__44195.1724264749.1280.1280__65303.1724269141.386.513.jpg?c=1,description,,Goodman GLXS4BA3010 2.5 Ton R 32 Air Conditioner,updated,
Goodman,2563,GLXS4BA3010,Goodman GLXS4BA3010 2.5 Ton R-32 Air Conditioner,7358,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2563/images/7358/1724264562.1280.1280__18730.1724264749.1280.1280__50362.1724269141.386.513.jpg?c=1,description,,Goodman GLXS4BA3010 2.5 Ton R 32 Air Conditioner,updated,
Goodman,2563,GLXS4BA3010,Goodman GLXS4BA3010 2.5 Ton R-32 Air Conditioner,7359,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2563/images/7359/1724264562.1280.1280__51535.1724264749.1280.1280__73391.1724269141.386.513.jpg?c=1,description,,Goodman GLXS4BA3010 2.5 Ton R 32 Air Conditioner,updated,
Goodman,2564,GLXS4BA3610,Goodman GLXS4BA3610 3 Ton R-32 Air Conditioner,7360,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2564/images/7360/1724269141.1280.1280__61847.1724273225.386.513.jpg?c=1,description,,Goodman GLXS4BA3610 3 Ton R 32 Air Conditioner,updated,
Goodman,2564,GLXS4BA3610,Goodman GLXS4BA3610 3 Ton R-32 Air Conditioner,7361,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2564/images/7361/1724269141.1280.1280__90625.1724273225.386.513.jpg?c=1,description,,Goodman GLXS4BA3610 3 Ton R 32 Air Conditioner,updated,
Goodman,2564,GLXS4BA3610,Goodman GLXS4BA3610 3 Ton R-32 Air Conditioner,7362,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2564/images/7362/1724269141.1280.1280__67888.1724273225.386.513.jpg?c=1,description,,Goodman GLXS4BA3610 3 Ton R 32 Air Conditioner,updated,
