offer_id,title,brand,price,availability,product_type,gtin,mpn,condition,custom_label0,custom_label1,has_brand_in_title,matched_brand,is_workhorse,workhorse_model,workhorse_description,missing_attributes
188WIRE,18-8 Low Voltage Wire 250' Roll,,0 USD,in stock,hvac parts supplies,,,new,,,False,,False,,,"GTIN, MPN"
GLZS5BA6010,GOODMAN 5 Ton 15.2 SEER2 R-32 Heat Pump — GLZS5BA6010,Goodman,0 USD,in stock,goodman 1,,GLZS5BA6010,new,,,True,goodman,False,,,GTIN
"GLZS5BA1810, GR9S920403ANA, CHPTA2426B3",GOODMAN 1.5 Ton 15.2 SEER2 R-32 92% AFUE Dual Fuel System (Horizontal Coil),Goodman,0 USD,in stock,goodman 1,,"GLZS5BA1810, GR9S960403ANA, CHPTA2426B3",new,,,True,goodman,True,GR9S,Goodman GR9S Gas Furnace,GTIN
"RA15AY36AJ1NA, RCFY3617STANMC",Rheem 3.0 Ton 15.0 SEER2 AC & Evaporator Coil System,Rheem,0 USD,in stock,rheem,,"RA15AY36AJ1NA, RCFY3617STANMC",new,,,True,rheem,False,,,GTIN
"RP14AY30AJ2NA, RH2TY3617STANNJ, WRX07521",Rheem R-454B 2.5 Ton 14.3 SEER2 Complete Heat Pump System 7.5kW,Rheem,0 USD,in stock,rheem,,"RP14AY30AJ2NA, RH2TY3617STANNJ, WRX07521",new,,,True,rheem,True,RP14,Rheem RP14 Heat Pump,GTIN
"S-GLZS4BA1810,S-GR9S800403ANA,S-CHPTA2426B3",SOLACE 1.5 Ton 14.3 SEER2 R-32 80% AFUE Dual Fuel System (Horizontal Coil),Solace,0 USD,in stock,goodman 1,,"S-GLZS4BA1810,S-GR9S800403ANA,S-CHPTA2426B3",new,,,True,solace,True,GR9S,Goodman GR9S Gas Furnace,GTIN
GLXS3BN6010,Goodman GLXS3BN6010 5 Ton R-32 Air Conditioner,Goodman,0 USD,in stock,goodman 1,,GLXS3BN6010,new,,,True,goodman,False,,,GTIN
S-GPGM53008031,Solace 2.5 Ton 15.2 SEER2 Packaged Gas/Electric - S-GPGM53008031,Solace,0 USD,in stock,solace,,S-GPGM53008031,new,,,True,solace,False,,,GTIN
"RA15AY30AJ1NA, RH2TY3617STANNJ, WRX07521","Rheem 2.5 Ton 14.3 SEER2 AC, Air Handler & 7kW Heat Kit System",Rheem,0 USD,in stock,rheem,,"RA15AY30AJ1NA, RH2TY3617STANNJ, WRX07521",new,,,True,rheem,False,,,GTIN
853178590580278507,Goodman 5 Ton R-32 Air Conditioner Condenser - GXV6SS6010,Goodman,0 USD,in stock,,,,new,,,True,goodman,False,,,"GTIN, MPN"
