product_id,sku,product_name,brand,url_slug,page_title,meta_description,meta_keywords,search_keywords,categories,visibility
3087,"RA15AY36AJ1NA, R801T0754A17UHSNAS, RCFY3617STANMC","Rheem 3.0 Ton AC System 15.2 SEER2 with 75,000 BTU 80% AFUE Furnace - R-454B",Rheem,/products/rheem-3-ton-ac-15-2-seer2-w-80-75k-btu-3-ton-drive-17-wide-gas-furnace-and-coil-r-454b.html,"Rheem 3 Ton AC 15.2 SEER2 w/ 80% 75K BTU 3 Ton Drive 17"" Wide Gas furnace and Coil R-454B","Rheem 3 Ton AC 15.2 SEER2 w/ 80% 75K BTU 3 Ton Drive 17"" Wide Gas furnace and Coil R-454B",EMPTY,"Rheem 3 Ton AC 15.2 SEER2 w/ 80% 75K BTU 3 Ton Drive 17"" Wide Gas furnace and Coil R-454B",Rheem; Rheem > 80% Gas Systems; Rheem > 80% Gas Systems > 3-Ton,visible
3088,"RA15AY42AJ1NA, R801T0754A21UHSNAS, RCFY4821STANMC",Rheem 3.5 Ton 15.2 SEER2 AC & 80% AFUE Gas Furnace System,Rheem,/products/rheem-3-5-ton-15-2-seer2-ac-80-afue-gas-furnace-system.html,"Rheem 3.5 Ton AC 15.2 SEER2 w/ 80% 75K BTU 4 Ton Drive 21"" Wide Gas furnace and Coil R-454B","Rheem 3.5 Ton AC 15.2 SEER2 w/ 80% 75K BTU 4 Ton Drive 21"" Wide Gas furnace and Coil R-454B",EMPTY,"Rheem 3.5 Ton AC 15.2 SEER2 w/ 80% 75K BTU 4 Ton Drive 21"" Wide Gas furnace and Coil R-454B",Rheem; Rheem > 80% Gas Systems; Rheem > 80% Gas Systems > 3.5-Ton,visible
3089,"RA15AY48AJ1NA, R801T1005A21UHSNAS, RCFY4821STANMC",Rheem 4.0 Ton 15.0 SEER2 AC & 80% AFUE Gas Furnace System,Rheem,/products/rheem-4-ton-ac-15-2-seer2-w-80-100k-btu-5-ton-drive-21-wide-gas-furnace-and-coil-r-454b.html,"Rheem 4 Ton AC 15.2 SEER2 w/ 80% 100K BTU 5 Ton Drive 21"" Wide Gas furnace and Coil R-454B","Rheem 4 Ton AC 15.2 SEER2 w/ 80% 100K BTU 5 Ton Drive 21"" Wide Gas furnace and Coil R-454B",EMPTY,"Rheem 4 Ton AC 15.2 SEER2 w/ 80% 100K BTU 5 Ton Drive 21"" Wide Gas furnace and Coil R-454B",Rheem; Rheem > 80% Gas Systems; Rheem > 80% Gas Systems > 4-Ton,visible
3090,"RA15AY60AJ1NA, R801T1255A24UHSNAS, RCFY6024STANMC",Rheem 5.0 Ton 15.0 SEER2 AC & 80% AFUE Gas Furnace System,Rheem,/products/rheem-5-ton-ac-15-2-seer2-w-80-125k-btu-5-ton-drive-24-wide-gas-furnace-and-coil-r-454b.html,"Rheem 5 Ton AC 15.2 SEER2 w/ 80% 125K BTU 5 Ton Drive 24"" Wide Gas furnace and Coil R-454B","Rheem 5 Ton AC 15.2 SEER2 w/ 80% 125K BTU 5 Ton Drive 24"" Wide Gas furnace and Coil R-454B",EMPTY,"Rheem 5 Ton AC 15.2 SEER2 w/ 80% 125K BTU 5 Ton Drive 24"" Wide Gas furnace and Coil R-454B",Rheem; Rheem > 80% Gas Systems; Rheem > 80% Gas Systems > 5-Ton,visible
3094,"RA15AY18AJ1NA, R921T0403A17M4SNAS, RCFY2417STANMC",Rheem 1.5 Ton 14.3 SEER2 AC & 92% AFUE Gas Furnace System,Rheem,/products/rheem-1-5-ton-ac-15-2-seer2-w-92-40k-btu-3-ton-drive-17-wide-gas-furnace-and-coil-r-454b.html,"Rheem 1.5 Ton AC 15.2 SEER2 w/ 92% 40K BTU 3 Ton Drive 17"" Wide Gas furnace and Coil R-454B","Rheem 1.5 Ton AC 15.2 SEER2 w/ 92% 40K BTU 3 Ton Drive 17"" Wide Gas furnace and Coil R-454B",EMPTY,"Rheem 1.5 Ton AC 15.2 SEER2 w/ 92% 40K BTU 3 Ton Drive 17"" Wide Gas furnace and Coil R-454B",Rheem; Rheem > 92% Gas Systems; Rheem > 92% Gas Systems > 1.5-Ton,visible
3106,"RA15AY24AJ1NA, R921T0403A17M4SNAS, RCFY2417STANMC",Rheem 2.0 Ton 15.0 SEER2 AC & 92% AFUE Gas Furnace System,Rheem,/products/rheem-2-ton-ac-15-2-seer2-w-92-40k-btu-3-ton-drive-17-wide-gas-furnace-and-coil-r-454b.html,"Rheem 2 Ton AC 15.2 SEER2 w/ 92% 40K BTU 3 Ton Drive 17"" Wide Gas furnace and Coil R-454B","Rheem 2 Ton AC 15.2 SEER2 w/ 92% 40K BTU 3 Ton Drive 17"" Wide Gas furnace and Coil R-454B",EMPTY,"Rheem 2 Ton AC 15.2 SEER2 w/ 92% 40K BTU 3 Ton Drive 17"" Wide Gas furnace and Coil R-454B",Rheem; Rheem > 92% Gas Systems; Rheem > 92% Gas Systems > 2-Ton,visible
3107,"RA15AY30AJ1NA, R921T0603A17M4SNAS, RCFY3617STANMC",Rheem 2.5 Ton 14.3 SEER2 AC & 92% AFUE Gas Furnace System,Rheem,/products/rheem-2-5-ton-ac-15-2-seer2-w-92-60k-btu-3-ton-drive-17-wide-gas-furnace-and-coil-r-454b.html,"Rheem 2.5 Ton AC 15.2 SEER2 w/ 92% 60K BTU 3 Ton Drive 17"" Wide Gas furnace and Coil R-454B","Rheem 2.5 Ton AC 15.2 SEER2 w/ 92% 60K BTU 3 Ton Drive 17"" Wide Gas furnace and Coil R-454B",EMPTY,"Rheem 2.5 Ton AC 15.2 SEER2 w/ 92% 60K BTU 3 Ton Drive 17"" Wide Gas furnace and Coil R-454B",Rheem; Rheem > 92% Gas Systems; Rheem > 92% Gas Systems > 2.5-Ton,visible
3112,"RA15AY36AJ1NA, R921T0603A17M4SNAS, RCFY3617STANMC",Rheem 3.0 Ton 15.0 SEER2 AC & 92% AFUE Gas Furnace System,Rheem,/products/rheem-3-ton-ac-15-2-seer2-w-92-60k-btu-3-ton-drive-17-wide-gas-furnace-and-coil-r-454b.html,"Rheem 3 Ton AC 15.2 SEER2 w/ 92% 60K BTU 3 Ton Drive 17"" Wide Gas furnace and Coil R-454B","Rheem 3 Ton AC 15.2 SEER2 w/ 92% 60K BTU 3 Ton Drive 17"" Wide Gas furnace and Coil R-454B",EMPTY,"Rheem 3 Ton AC 15.2 SEER2 w/ 92% 60K BTU 3 Ton Drive 17"" Wide Gas furnace and Coil R-454B",Rheem; Rheem > 92% Gas Systems; Rheem > 92% Gas Systems > 3-Ton,visible
3115,"RA15AY42AJ1NA, R921T0855A21M4SNAS, RCFY4821STANMC",Rheem 3.5 Ton 15.2 SEER2 AC & 92% AFUE Gas Furnace System,Rheem,/products/rheem-3-5-ton-15-2-seer2-ac-92-afue-gas-furnace-system.html,"Rheem 3.5 Ton AC 15.2 SEER2 w/ 92% 85K BTU 4 Ton Drive 21"" Wide Gas furnace and Coil R-454B","Rheem 3.5 Ton AC 15.2 SEER2 w/ 92% 85K BTU 4 Ton Drive 21"" Wide Gas furnace and Coil R-454B",EMPTY,"Rheem 3.5 Ton AC 15.2 SEER2 w/ 92% 85K BTU 4 Ton Drive 21"" Wide Gas furnace and Coil R-454B",Rheem; Rheem > 92% Gas Systems; Rheem > 92% Gas Systems > 3.5-Ton,visible
3117,"RA15AY48AJ1NA, R921T1005A21M4SNAS, RCFY4821STANMC",Rheem 4.0 Ton 15.0 SEER2 AC & 92% AFUE Gas Furnace System,Rheem,/products/rheem-4-ton-ac-15-2-seer2-w-92-100k-btu-5-ton-drive-21-wide-gas-furnace-and-coil-r-454b.html,"Rheem 4 Ton AC 15.2 SEER2 w/ 92% 100K BTU 5 Ton Drive 21"" Wide Gas furnace and Coil R-454B","Rheem 4 Ton AC 15.2 SEER2 w/ 92% 100K BTU 5 Ton Drive 21"" Wide Gas furnace and Coil R-454B",EMPTY,"Rheem 4 Ton AC 15.2 SEER2 w/ 92% 100K BTU 5 Ton Drive 21"" Wide Gas furnace and Coil R-454B",Rheem; Rheem > 92% Gas Systems; Rheem > 92% Gas Systems > 4-Ton,visible
3121,"RA15AY60AJ1NA, R921T1155A24M4SNAS, RCFY6024STANMC",Rheem 5.0 Ton 15.0 SEER2 AC & 92% AFUE Gas Furnace System,Rheem,/products/rheem-5-ton-ac-15-2-seer2-w-92-115k-btu-5-ton-drive-24-wide-gas-furnace-and-coil-r-454b.html,"Rheem 5 Ton AC 15.2 SEER2 w/ 92% 115K BTU 5 Ton Drive 24"" Wide Gas furnace and Coil R-454B","Rheem 5 Ton AC 15.2 SEER2 w/ 92% 115K BTU 5 Ton Drive 24"" Wide Gas furnace and Coil R-454B",EMPTY,"Rheem 5 Ton AC 15.2 SEER2 w/ 92% 115K BTU 5 Ton Drive 24"" Wide Gas furnace and Coil R-454B",Rheem; Rheem > 92% Gas Systems; Rheem > 92% Gas Systems > 5-Ton,visible
3131,"RP15AY18AJ2NA, R801T0503A14UHSNAS, RCFY2414STAAMC",Rheem 1.5 Ton Dual Fuel System - 15.2 SEER2 Heat Pump & 80% AFUE Furnace,Rheem,/products/rheem-1-5-ton-dual-fuel-system-15-2-seer2-heat-pump-80-afue-furnace.html,"Rheem 1.5 Ton Heat Pump 2 Stage 15.2 SEER2 w/ 80% 50K BTU 3 Ton Drive 14"" Wide Gas furnace and Coil R-454B","Rheem 1.5 Ton Heat Pump 2 Stage 15.2 SEER2 w/ 80% 50K BTU 3 Ton Drive 14"" Wide Gas furnace and Coil R-454B",EMPTY,"Rheem 1.5 Ton Heat Pump 2 Stage 15.2 SEER2 w/ 80% 50K BTU 3 Ton Drive 14"" Wide Gas furnace and Coil R-454B",Rheem; Rheem > 80% Dual Fuel Systems; Rheem > 80% Dual Fuel Systems > 1.5-Ton,visible
3132,"RP15AY24AJ2NA, R801T0503A14UHSNAS, RCFY2414STAAMC",Rheem 2.0 Ton Dual Fuel System - 15.2 SEER2 Heat Pump & 80% AFUE Furnace,Rheem,/products/rheem-2-0-ton-dual-fuel-system-15-2-seer2-heat-pump-80-afue-furnace.html,"Rheem 2 Ton Dual Fuel 2 Stage 15.2 SEER2 w/ 80% 50K BTU 3 Ton Drive 14"" Wide Gas furnace and Coil R-454B","Rheem 2 Ton Dual Fuel 2 Stage 15.2 SEER2 w/ 80% 50K BTU 3 Ton Drive 14"" Wide Gas furnace and Coil R-454B",EMPTY,"2 Ton Dual Fuel 2 Stage 15.2 SEER2 w/ 80% 50K BTU 3 Ton Drive 14"" Wide Gas furnace and Coil R-454B",Rheem; Rheem > 80% Dual Fuel Systems; Rheem > 80% Dual Fuel Systems > 2-Ton,visible
3133,"RP15AY30AJ2NA, R801T0754A17UHSNAS, RCFY3617STANMC",Rheem 2.5 Ton Dual Fuel System - 15.2 SEER2 Heat Pump & 80% AFUE Furnace,Rheem,/products/rheem-2-5-ton-dual-fuel-system-15-2-seer2-heat-pump-80-afue-furnace.html,"Rheem 2.5 Ton Dual Fuel 2 Stage 15.2 SEER2 w/ 80% 75K BTU 3 Ton Drive 17"" Wide Gas furnace and Coil R-454B","Rheem 2.5 Ton Dual Fuel 2 Stage 15.2 SEER2 w/ 80% 75K BTU 3 Ton Drive 17"" Wide Gas furnace and Coil R-454B",EMPTY,"Rheem 2.5 Ton dual Fuel 2 Stage 15.2 SEER2 w/ 80% 75K BTU 3 Ton Drive 17"" Wide Gas furnace and Coil R-454B",Rheem; Rheem > 80% Dual Fuel Systems; Rheem > 80% Dual Fuel Systems > 2.5-Ton,visible
