offer_id,title,brand,price,availability,product_type,gtin,mpn,condition,custom_label0,custom_label1,has_brand_in_title,matched_brand,is_workhorse,workhorse_model,workhorse_description,missing_attributes
S-AMST36BU13,Solace 3 Ton R-32 Air Handler - S-AMST36BU13,Solace,0 USD,in stock,solace,,S-AMST36BU13,new,,,True,solace,False,,,GTIN
"S-GLZT7CA4810,S-AMVT60DP1300",SOLACE 4 Ton 17.2 SEER2 R-32 Heat Pump System with Multi-Positional Air Handler,Solace,0 USD,in stock,solace,,"S-GLZT7CA4810, S-AMVT60DP1300",new,,,True,solace,False,,,GTIN
R801T0754A21UHSNAS,"RHEEM R801T0754A21UHSNAS - 75,000 BTU 80% AFUE Single Stage Furnace",Rheem,0 USD,in stock,rheem,,R801T0754A21UHSNAS,new,,,True,rheem,False,,,GTIN
"S-GLZS4BA6010,S-GR9S921005CNA,S-CHPTA6030D3",SOLACE 5 Ton 14.3 SEER2 R-32 92% AFUE Dual Fuel System (Horizontal Coil),Solace,0 USD,in stock,goodman 1,,"S-GLZS4BA6010,S-GR9S921005CNA,S-CHPTA6030D3",new,,,True,solace,True,GR9S,Goodman GR9S Gas Furnace,GTIN
14602951818173053043,GOODMAN 5 Ton Variable Capacity 17.5 SEER2 R-32 80% AFUE Dual Fuel System with ComfortNet Smart Thermostat (Horizontal Coil),Goodman,0 USD,in stock,,,,new,,,True,goodman,False,,,"GTIN, MPN"
"GLXS4BA1810, AWST18SU1305",GOODMAN 1.5 Ton 14.3 SEER2 R-32 Air Conditioning System with Wall-Hung Air Handler,Goodman,0 USD,in stock,goodman 1,,"GLZS4BA1810, AWST18SU1305",new,,,True,goodman,False,,,GTIN
GR9S801005CNA,Goodman GR9S801005CNA 80% AFUE Gas Furnace,Goodman,0 USD,in stock,goodman 1,,GR9S801005CNA,new,,,True,goodman,True,GR9S,Goodman GR9S Gas Furnace,GTIN
WRX1502B1,RHEEM WRX1502B1 - 15 kW Electric Heat Kit,Rheem,0 USD,in stock,rheem > heat kits,,WRX1502B1,new,,,True,rheem,False,,,GTIN
"GLXS3BN2410, AMST24BU13",GOODMAN 2 Ton 13.4 SEER2 R-32 Air Conditioning System with Multi-Position Air Handler,Goodman,0 USD,in stock,goodman 1,,"GLXS3BN2410, AMST24BU13, HKTSN05X1",new,,,True,goodman,False,,,GTIN
"S-GLXS4BA4810,S-GR9S920804CNA,S-CAPTA6030C3",SOLACE 4 Ton 14.3 SEER2 R-32 92% AFUE Gas Furnace Air Conditioning System (Upflow Coil),Solace,0 USD,in stock,goodman 1,,"S-GLXS4BA4810,S-GR9S920804CNA,S-CAPTA6030C3",new,,,True,solace,True,GR9S,Goodman GR9S Gas Furnace,GTIN
GPCH36031,Goodman 5 Ton 13.4 SEER2 Packaged Air Conditioner - GPCH36031,Goodman,0 USD,in stock,goodman 1,,GPCH36031,new,,,True,goodman,False,,,GTIN
"GLXT7CA2410, AMVT24BP1300",GOODMAN 2 Ton 17.2 SEER2 R-32 Air Conditioning System with Multi-Positional Air Handler,Goodman,0 USD,in stock,goodman 1,,"GLXT7CA2410, AMVT24BP1300, HKTSN05X1",new,,,True,goodman,False,,,GTIN
"GLXS5BA3010, AWST30SU1308",GOODMAN 2.5 Ton 15.2 SEER2 R-32 Air Conditioning System with Wall-Hung Air Handler,Goodman,0 USD,in stock,goodman 1,,"GLXS5BA3010, AWST30SU1308",new,,,True,goodman,False,,,GTIN
GZV7SA6010,GOODMAN GZV7SA6010 - 5.0 Ton 17.5 SEER2 Variable-Speed Heat Pump,Goodman,0 USD,in stock,goodman 1,,GZV7SA6010,new,,,True,goodman,False,,,GTIN
RP14AY30AJ2NA,RHEEM 2.5 Ton 14.3 SEER2 Two-Stage Heat Pump,Rheem,0 USD,in stock,rheem,,RP14AY30AJ2NA,new,,,True,rheem,True,RP14,Rheem RP14 Heat Pump,GTIN
"S-GLXT7CA2410,S-AMVT24BP1300",SOLACE 2 Ton 17.2 SEER2 R-32 Air Conditioning System with Multi-Positional Air Handler,Solace,0 USD,in stock,solace,,"S-GLXT7CA2410, S-AMVT24BP1300",new,,,True,solace,False,,,GTIN
RXC09AXVJU,Daikin ENTRA 18 SEER2 9K BTU Heat Pump,Daikin,0 USD,in stock,daikin,,RXC09AXVJU,new,,,True,daikin,False,,,GTIN
"GLXT7CA4810, CHPTA6030D3, GRVT800804CN",GOODMAN 4 Ton 17.2 SEER2 R-32 80% AFUE Gas Furnace Air Conditioning System (Horizontal Coil),Goodman,0 USD,in stock,goodman 1,,"GLXT7CA4810, CHPTA6030D3, GRVT800804CN",new,,,True,goodman,False,,,GTIN
GPGM33604031,Goodman 3 Ton 13.4 SEER2 Packaged Gas/Electric - GPGM33604031,Goodman,0 USD,in stock,goodman 1,,GPGM33604031,new,,,True,goodman,False,,,GTIN
"GLXS4BA4210, GR9S800804CNA, CHPTA4230C3","Goodman 3.5 Ton Horizontal 80% Gas System 14.3 SEER2 21"" Wide R-32",Goodman,0 USD,in stock,goodman 1,,"GLXS4BA2410, GM9S800403ANA, CHPTA2426B3",new,,,True,goodman,True,GR9S,Goodman GR9S Gas Furnace,GTIN
R802V1005A21UHSCAP,"RHEEM R802V1005A21UHSCAP - 100,000 BTU 80% AFUE Two-Stage Furnace",Rheem,0 USD,in stock,rheem,,R802V1005A21UHSCAP,new,,,True,rheem,False,,,GTIN
"S-GZV6SA2410,S-AHVE24BP1300,S-GTST-CW-WH-A",SOLACE 2 Ton 16.2 SEER2 R-32 Heat Pump System with Multi-Positional Air Handler,Solace,0 USD,in stock,solace,,"S-GZV6SA2410, S-AHVE24BP1300, S-GTST-CW-WH-A",new,,,True,solace,False,,,GTIN
"S-GLXS5BA3610,S-GR9S920603BNA,S-CAPTA3626B3",SOLACE 3 Ton 15.2 SEER2 R-32 92% AFUE Gas Furnace Air Conditioning System (Upflow Coil),Solace,0 USD,in stock,solace,,"S-GLXS5BA3610,S-GR9S920603BNA,S-CAPTA3626B3",new,,,True,solace,True,GR9S,Goodman GR9S Gas Furnace,GTIN
CAPEA3022B3,Goodman 2.5 Ton R-32 Upflow Evaporator Coil - CAPEA3022B3,Goodman,0 USD,in stock,goodman 1,,CAPEA3022B3,new,,,True,goodman,False,,,GTIN
S-GPGM53608031,Solace 3 Ton 15.2 SEER2 Packaged Gas/Electric - S-GPGM53608031,Solace,0 USD,in stock,solace,,S-GPGM53608031,new,,,True,solace,False,,,GTIN
S-GXV6SS6010,Solace 5 Ton 16.2 SEER2 R-32 Air Conditioner - S-GXV6SS6010,Solace,0 USD,in stock,solace,,S-GXV6SS6010,new,,,True,solace,False,,,GTIN
AHVE24BP1300,Goodman 2 Ton R-32 Air Handler - AHVE24BP1300,Goodman,0 USD,in stock,goodman 1,,AHVE24BP1300,new,,,True,goodman,False,,,GTIN
CAPEA4830C3,Goodman 4 Ton R-32 Upflow Evaporator Coil - CAPEA4830C3,Goodman,0 USD,in stock,goodman 1,,CAPEA4830C3,new,,,True,goodman,False,,,GTIN
"S-GXV6SS3610,S-AHVE36CP1300,S-GTST-CW-WH-A",SOLACE 3 Ton 16.2 SEER2 R-32 Air Conditioning System with Multi-Positional Air Handler,Solace,0 USD,in stock,solace,,"S-GXV6SS3610, S-AHVE36CP1300, S-GTST-CW-WH-A",new,,,True,solace,False,,,GTIN
7448243626212156646,Goodman 3.5 Ton R-32 Air Conditioner Condenser - GXV6SS4210,Goodman,0 USD,in stock,,,,new,,,True,goodman,False,,,"GTIN, MPN"
