brand,product_id,sku,product_name,image_id,image_url,field_changed,before,after,status,error
Rheem,2140,WRX05021,RHEEM WRX05021 - 5 kW Electric Heat Kit,6558,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2140/images/6558/Untitled_45__08499.1708445374.386.513.png?c=1,description,,RHEEM WRX05021 5 kW Electric Heat Kit,UPDATED,
Rheem,2141,WRX07521,RHEEM WRX07521 - 7.5 kW Electric Heat Kit,6559,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2141/images/6559/Untitled_45__08499.1703708488.1280.1280__99028.1708445375.386.513.png?c=1,description,,RHEEM WRX07521 7.5 kW Electric Heat Kit,UPDATED,
Rheem,2142,WRX10021,RHEEM WRX10021 - 10 kW Electric Heat Kit,6560,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2142/images/6560/Untitled_45__08499.1703708488.1280.1280__99028.1703708549.1280.1280__15909.1708445375.386.513.png?c=1,description,,RHEEM WRX10021 10 kW Electric Heat Kit,UPDATED,
Rheem,2143,WRX1502B1,RHEEM WRX1502B1 - 15 kW Electric Heat Kit,6561,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2143/images/6561/1703708620.1280.1280__40901.1708445375.386.513.png?c=1,description,,RHEEM WRX1502B1 15 kW Electric Heat Kit,UPDATED,
Rheem,2182,R801T0503A14UHSNAS,"RHEEM R801T0503A14UHSNAS - 50,000 BTU 80% AFUE Single Stage Furnace",6600,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2182/images/6600/Untitled_54__16429.1731595821.386.513.png?c=1,description,,"RHEEM R801T0503A14UHSNAS 50,000 BTU 80% AFUE Single Stage Furnace",UPDATED,
Rheem,2183,R801T0754A17UHSNAS,"RHEEM R801T0754A17UHSNAS - 75,000 BTU 80% AFUE Single Stage Furnace",6601,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2183/images/6601/Untitled_54__16429.1704219711.1280.1280__87287.1731595821.386.513.png?c=1,description,,"RHEEM R801T0754A17UHSNAS 75,000 BTU 80% AFUE Single Stage Furnace",UPDATED,
Rheem,2184,R801T0754A21UHSNAS,"RHEEM R801T0754A21UHSNAS - 75,000 BTU 80% AFUE Single Stage Furnace",6602,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2184/images/6602/Untitled_54__16429.1704219711.1280.1280__87287.1704220280.1280.1280__93154.1731595822.386.513.png?c=1,description,,"RHEEM R801T0754A21UHSNAS 75,000 BTU 80% AFUE Single Stage Furnace",UPDATED,
Rheem,2185,R801T1005A21UHSNAS,"RHEEM R801T1005A21UHSNAS - 100,000 BTU 80% AFUE Single Stage Furnace",6603,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2185/images/6603/1704220509.1280.1280__70313.1731595822.386.513.png?c=1,description,,"RHEEM R801T1005A21UHSNAS 100,000 BTU 80% AFUE Single Stage Furnace",UPDATED,
Rheem,2186,R801T1255A24UHSNAS,"RHEEM R801T1255A24UHSNAS - 125,000 BTU 80% AFUE Single Stage Furnace",6604,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2186/images/6604/1704220509.1280.1280__70313.1704220712.1280.1280__98546.1731595822.386.513.png?c=1,description,,"RHEEM R801T1255A24UHSNAS 125,000 BTU 80% AFUE Single Stage Furnace",UPDATED,
Rheem,2187,R921T0403A17M4SNAS,"RHEEM R921T0403A17M4SNAS - 40,000 BTU 92% AFUE Single Stage Furnace",6605,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2187/images/6605/Untitled_55__74318.1731595817.386.513.png?c=1,description,,"RHEEM R921T0403A17M4SNAS 40,000 BTU 92% AFUE Single Stage Furnace",UPDATED,
Rheem,2188,R921T0603A17M4SNAS,"RHEEM R921T0603A17M4SNAS - 60,000 BTU 92% AFUE Single Stage Furnace",6606,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2188/images/6606/Untitled_55__74318.1704222666.1280.1280__33306.1731595817.386.513.png?c=1,description,,"RHEEM R921T0603A17M4SNAS 60,000 BTU 92% AFUE Single Stage Furnace",UPDATED,
Rheem,2189,R921T0703A17M4SNAS,"RHEEM R921T0703A17M4SNAS - 70,000 BTU 92% AFUE Single Stage Furnace",6607,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2189/images/6607/Untitled_55__74318.1704222666.1280.1280__33306.1704223008.1280.1280__77110.1731595818.386.513.png?c=1,description,,"RHEEM R921T0703A17M4SNAS 70,000 BTU 92% AFUE Single Stage Furnace",UPDATED,
Rheem,2190,R921T0855A21M4SNAS,"RHEEM R921T0855A21M4SNAS - 85,000 BTU 92% AFUE Single Stage Furnace",6608,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2190/images/6608/1704223100.1280.1280__52648.1731595820.386.513.png?c=1,description,,"RHEEM R921T0855A21M4SNAS 85,000 BTU 92% AFUE Single Stage Furnace",UPDATED,
Rheem,2191,R921T1005A21M4SNAS,"RHEEM R921T1005A21M4SNAS - 100,000 BTU 92% AFUE Single Stage Furnace",6609,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2191/images/6609/1704223100.1280.1280__52648.1704223510.1280.1280__14455.1731595820.386.513.png?c=1,description,,"RHEEM R921T1005A21M4SNAS 100,000 BTU 92% AFUE Single Stage Furnace",UPDATED,
Rheem,2192,R921T1155A24M4SNAS,"RHEEM R921T1155A24M4SNAS - 115,000 BTU 92% AFUE Single Stage Furnace",6610,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2192/images/6610/1704224728.1280.1280__87760.1731595821.386.513.png?c=1,description,,"RHEEM R921T1155A24M4SNAS 115,000 BTU 92% AFUE Single Stage Furnace",UPDATED,
Rheem,2317,R801V0503A14UHSCAP,"RHEEM R801V0503A14UHSCAP - 50,000 BTU 80% AFUE Single Stage Furnace",6902,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2317/images/6902/1704220847.1280.1280__42928.1731619593.386.513.png?c=1,description,,"RHEEM R801V0503A14UHSCAP 50,000 BTU 80% AFUE Single Stage Furnace",UPDATED,
Rheem,2318,R801V0754A17UHSCAP,"RHEEM R801V0754A17UHSCAP - 75,000 BTU 80% AFUE Single Stage Furnace",6903,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2318/images/6903/1704220847.1280.1280__42928.1705521744.1280.1280__98802.1731619594.386.513.png?c=1,description,,"RHEEM R801V0754A17UHSCAP 75,000 BTU 80% AFUE Single Stage Furnace",UPDATED,
Rheem,2319,R801V0755A21UHSCAP,"RHEEM R801V0755A21UHSCAP - 75,000 BTU 80% AFUE Single Stage Furnace",6904,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2319/images/6904/1705521946.1280.1280__61703.1731619594.386.513.png?c=1,description,,"RHEEM R801V0755A21UHSCAP 75,000 BTU 80% AFUE Single Stage Furnace",UPDATED,
Rheem,2320,R801V1005A21UHSCAP,"RHEEM R801V1005A21UHSCAP - 100,000 BTU 80% AFUE Single Stage Furnace",6905,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2320/images/6905/1705521946.1280.1280__61703.1705522050.1280.1280__10354.1731619594.386.513.png?c=1,description,,"RHEEM R801V1005A21UHSCAP 100,000 BTU 80% AFUE Single Stage Furnace",UPDATED,
Rheem,2321,R801V1255A24UHSCAP,"RHEEM R801V1255A24UHSCAP - 125,000 BTU 80% AFUE Single Stage Furnace",6906,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2321/images/6906/1705522216.1280.1280__73412.1731619595.386.513.png?c=1,description,,"RHEEM R801V1255A24UHSCAP 125,000 BTU 80% AFUE Single Stage Furnace",UPDATED,
Rheem,2322,R921V0403A17M4SCAP,"RHEEM R921V0403A17M4SCAP - 40,000 BTU 92% AFUE Single Stage Furnace",6907,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2322/images/6907/1704224728.1280.1280__87760.1704225073.1280.1280__24591.1731619595.386.513.png?c=1,description,,"RHEEM R921V0403A17M4SCAP 40,000 BTU 92% AFUE Single Stage Furnace",UPDATED,
Rheem,2323,R921V0603A17M4SCAP,"RHEEM R921V0603A17M4SCAP - 60,000 BTU 92% AFUE Single Stage Furnace",6908,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2323/images/6908/1705589639.1280.1280__43382.1731619595.386.513.png?c=1,description,,"RHEEM R921V0603A17M4SCAP 60,000 BTU 92% AFUE Single Stage Furnace",UPDATED,
Rheem,2324,R921V0703A17M4SCAP,"RHEEM R921V0703A17M4SCAP - 70,000 BTU 92% AFUE Single Stage Furnace",6909,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2324/images/6909/1705589639.1280.1280__43382.1705590117.1280.1280__81975.1731619595.386.513.png?c=1,description,,"RHEEM R921V0703A17M4SCAP 70,000 BTU 92% AFUE Single Stage Furnace",UPDATED,
Rheem,2325,R921V0855A21M4SCAP,"RHEEM R921V0855A21M4SCAP - 85,000 BTU 92% AFUE Single Stage Furnace",6910,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2325/images/6910/1705590288.1280.1280__66238.1731619596.386.513.png?c=1,description,,"RHEEM R921V0855A21M4SCAP 85,000 BTU 92% AFUE Single Stage Furnace",UPDATED,
Rheem,2326,R921V1005A21M4SCAP,"RHEEM R921V1005A21M4SCAP - 100,000 BTU 92% AFUE Single Stage Furnace",6911,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2326/images/6911/1705590288.1280.1280__66238.1705590402.1280.1280__44553.1731619596.386.513.png?c=1,description,,"RHEEM R921V1005A21M4SCAP 100,000 BTU 92% AFUE Single Stage Furnace",UPDATED,
Rheem,2327,R921V1155A24M4SCAP,"RHEEM R921V1155A24M4SCAP - 115,000 BTU 92% AFUE Single Stage Furnace",6912,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2327/images/6912/1705590500.1280.1280__16609.1731619596.386.513.png?c=1,description,,"RHEEM R921V1155A24M4SCAP 115,000 BTU 92% AFUE Single Stage Furnace",UPDATED,
Rheem,2356,R802V0754A17UHSCAP,"RHEEM R802V0754A17UHSCAP - 75,000 BTU 80% AFUE Two-Stage Furnace",6941,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2356/images/6941/1705522216.1280.1280__73412.1705522303.1280.1280__41553.1731619596.386.513.png?c=1,description,,"RHEEM R802V0754A17UHSCAP 75,000 BTU 80% AFUE Two Stage Furnace",UPDATED,
