id	excluded_destination
OC142014	Shopping_ads
PLENAHCFR	Shopping_ads
30A2PBR	Shopping_ads
6900	Shopping_ads
SLDR1	Shopping_ads
8SADDLE	Shopping_ads
34PVCJ	Shopping_ads
MPA52700070001	Shopping_ads
34SHTOF	Shopping_ads
H-SP48	Shopping_ads
AQM4	Shopping_ads
GAS1290	Shopping_ads
34PVCR	Shopping_ads
18SW90	Shopping_ads
DAFM4	Shopping_ads
CONPL2	Shopping_ads
GAS34UN	Shopping_ads
904104	Shopping_ads
CNRBLK01	Shopping_ads
5SW90	Shopping_ads
C163KIT	Shopping_ads
CAP3575MF	Shopping_ads
DL579COMBO	Shopping_ads
DBOX24	Shopping_ads
18X16-311P	Shopping_ads
AA123W	Shopping_ads
AA913	Shopping_ads
GASR1141	Shopping_ads
AA-130PT-DEHU	Shopping_ads
10SW90	Shopping_ads
PAD4040	Shopping_ads
UNIFLMSN	Shopping_ads
16-310	Shopping_ads
34PVCF	Shopping_ads
752DWRAP-1	Shopping_ads
5224-A	Shopping_ads
Y864	Shopping_ads
GASNIP12	Shopping_ads
904148	Shopping_ads
LS7850	Shopping_ads
BR1-100	Shopping_ads
12-406-ASD	Shopping_ads
BFLR104	Shopping_ads
SCHPRT	Shopping_ads
JSW75	Shopping_ads
GAS34TEE	Shopping_ads
AA8145	Shopping_ads
HNGWR01	Shopping_ads
C SB WP (DB)	Shopping_ads
CE6128	Shopping_ads
402PVC10-1	Shopping_ads
DSPLEN	Shopping_ads
16-406-A	Shopping_ads
FG2020	Shopping_ads
ELB34	Shopping_ads
6-BI-14TPI	Shopping_ads
GASR134	Shopping_ads
GFLEX185	Shopping_ads
14COL	Shopping_ads
2PVC45	Shopping_ads
16CIDRYER	Shopping_ads
146STACK	Shopping_ads
YLWRN01	Shopping_ads
SNDCLTH1	Shopping_ads
6-BI-6TPI	Shopping_ads
403PVC10-1	Shopping_ads
AACL08	Shopping_ads
FF1625/2025	Shopping_ads
H-SG16	Shopping_ads
H-FG64	Shopping_ads
UVDYE1	Shopping_ads
C165+OIL	Shopping_ads
Y12108	Shopping_ads
10-310	Shopping_ads
2CONVENT	Shopping_ads
12SEALT100	Shopping_ads
SAUERMSUUP	Shopping_ads
1502UR	Shopping_ads
PLENCSB	Shopping_ads
GASNIP112	Shopping_ads
70029	Shopping_ads
115UNIIBM1075	Shopping_ads
34SEALT100	Shopping_ads
PLENAHSB	Shopping_ads
34TRACSTR	Shopping_ads
C165+	Shopping_ads
FRG1414	Shopping_ads
SINGNGBX	Shopping_ads
LS3425	Shopping_ads
WTOE214	Shopping_ads
EZPRO-12-HP-11516D-O	Shopping_ads
UVF6	Shopping_ads
3WAY106	Shopping_ads
GASCNIP1	Shopping_ads
62WIRE1	Shopping_ads
8SW90	Shopping_ads
115SWTCH	Shopping_ads
C161	Shopping_ads
PAN3060	Shopping_ads
34TRAC1	Shopping_ads
CLAMP15	Shopping_ads
MPA5285G0030301	Shopping_ads
12COL	Shopping_ads
R604	Shopping_ads
40A2PBR	Shopping_ads
AABYP10	Shopping_ads
