product_id,title,brand,price,gtin,mpn,campaign,impressions,clicks,cost,conversions,conv_value,roas,cpc,has_brand_in_title,matched_brand,in_merchant_center
r921t0855a21m4snas,"RHEEM R921T0855A21M4SNAS - 85,000 BTU 92% AFUE Single Stage Furnace",rheem,,,,Products merchant campaign,3484,56,80.702322,0.074697,144.62459655,1.792074787513549,1.4411128928571428,True,rheem,False
"ra15ay48aj1na, r921t1005a21m4snas, rcfy4821stanmc",Rheem 4.0 Ton 15.0 SEER2 AC & 92% AFUE Gas Furnace System,rheem,,,,Products merchant campaign,4488,60,78.07,0.0,3.9869732,0.05106920968361727,1.3011666666666666,True,rheem,False
gr9t801004cn,"Goodman 80,000 BTU Gas Furnace 80% AFUE Two-Stage - GR9T801004CN",goodman,,,,Products merchant campaign,1167,8,76.22,0.0,0.0,0.0,9.5275,True,goodman,False
"rp15ay30aj2na, rh2vy3617stacnj, wrx07521",Rheem R-454B 2.5 Ton 16 SEER2 Complete Heat Pump System 7.5kW,rheem,,,,Products merchant campaign,10037,33,73.898844,0.992861,4490.3131586,60.76296888487187,2.239358909090909,True,rheem,False
ftxc18axvju,Daikin ENTRA Series 18K BTU Hi-Wall Fan Coil,daikin,,,,Products merchant campaign,6164,23,72.910447,0.0,0.0,0.0,3.170019434782609,True,daikin,False
"glxs4ba3010, awst30su1310",GOODMAN 2.5 Ton 14.3 SEER2 R-32 Air Conditioning System with Wall-Hung Air Handler AND 10kw Heat Kit,goodman,,,,Products merchant campaign,3938,29,70.98,0.0,0.0,0.0,2.4475862068965517,True,goodman,False
gr9s920603bn,Goodman GR9S920603BN 92% AFUE Gas Furnace,goodman,,,,Products merchant campaign,5457,29,67.858508,0.0,0.0,0.0,2.339948551724138,True,goodman,False
"ra15ay36aj1na, rcfy3617stanmc",Rheem 3.0 Ton 15.0 SEER2 AC & Evaporator Coil System,rheem,,,,Products merchant campaign,3038,30,65.02,0.0,0.0,0.0,2.167333333333333,True,rheem,False
gd9s800804bn,"Goodman 80,000 BTU Gas Furnace 80% AFUE Single-Stage Downflow - GD9S800804BN",goodman,,,,Products merchant campaign,1923,12,64.58349,1.0,1397.5,21.63865718622515,5.3819574999999995,True,goodman,False
"ra15ay42aj1na, rh2ty4821stannj, wrx10021","Rheem 3.5 Ton 15.2 SEER2 AC, Air Handler & 10kW Heat Kit System",rheem,,,,Products merchant campaign,1666,49,63.69,0.0,0.0,0.0,1.2997959183673469,True,rheem,False
"ra16ay36aj2na, r801v0754a17uhscap, rcfy3617stanmc","Rheem 3.0 Ton AC System 16 SEER2 with 75,000 BTU 80% AFUE Furnace - R-454B",rheem,,,,Products merchant campaign,23751,43,63.309322,0.0,0.0,0.0,1.4723098139534885,True,rheem,False
gr9s960603bna,"Goodman 60,000 BTU Gas Furnace 96% AFUE Single-Stage - GR9S960603BNA",goodman,,,,Products merchant campaign,5726,21,63.070886,0.0,0.0,0.0,3.003375523809524,True,goodman,False
