offer_id,current_title,new_title,brand
"GLZS5BA1810, GR9S920403ANA, CAPTA2422A3",GOODMAN 1.5 Ton 15.2 SEER2 R-32 92% AFUE Dual Fuel System (Upflow / Vertical Coil),1.5 Ton 15.2 SEER2 R-32 92% AFUE Dual Fuel System (Upflow / Vertical Coil) - Goodman,goodman
S-GR9S920804CN,Solace 92% AFUE Gas Furnace - S-GR9S920804CN,92% AFUE Gas Furnace - S-GR9S920804CN - Solace,solace
S-AWST24SU1308A,Solace 2 Ton R-32 Wall-Mount Air Handler - S-AWST24SU1308A,2 Ton R-32 Wall-Mount Air Handler - S-AWST24SU1308A - Solace,solace
S-CAPEA3626B3,Solace 3 Ton R-32 Upflow Evaporator Coil - S-CAPEA3626B3,3 Ton R-32 Upflow Evaporator Coil - S-CAPEA3626B3 - Solace,solace
GPGM36008031,Goodman 5 Ton 13.4 SEER2 Packaged Gas/Electric - GPGM36008031,5 Ton 13.4 SEER2 Packaged Gas/Electric - GPGM36008031 - Goodman,goodman
7733439792530106639,GOODMAN 2 Ton 13.4 SEER2 R-32 80% AFUE AC System (Horizontal Coil),2 Ton 13.4 SEER2 R-32 80% AFUE AC System (Horizontal Coil) - Goodman,goodman
"RXC24AXVJU, FTXC24AXVJU",Daikin ENTRA 18 SEER2 24K BTU Heat Pump and 24K BTU Hi-Wall Fan Coil,ENTRA 18 SEER2 24K BTU Heat Pump and 24K BTU Hi-Wall Fan Coil - Daikin,daikin
S-GR9S920603BN,Solace 92% AFUE Gas Furnace - S-GR9S920603BN,92% AFUE Gas Furnace - S-GR9S920603BN - Solace,solace
S-GPGM34206031,Solace 3.5 Ton 13.4 SEER2 Packaged Gas/Electric - S-GPGM34206031,3.5 Ton 13.4 SEER2 Packaged Gas/Electric - S-GPGM34206031 - Solace,solace
GLZS4MA1810,Goodman 1.5 Ton Heat Pump 14.3 SEER2 7.8 HSPF2 Single-Stage R-32 - GLZS4MA1810,1.5 Ton Heat Pump 14.3 SEER2 7.8 HSPF2 Single-Stage R-32 - GLZS4MA1810 - Goodman,goodman
RP15AY60AJ2NA,RHEEM 5.0 Ton 15.2 SEER2 Two-Stage Heat Pump,5.0 Ton 15.2 SEER2 Two-Stage Heat Pump - Rheem,rheem
"GLZS4BA4810, GR9S800804CNA, CAPTA6030C3",GOODMAN 4 Ton 14.3 SEER2 R-32 80% AFUE Dual Fuel Heat Pump System (Upflow Coil),4 Ton 14.3 SEER2 R-32 80% AFUE Dual Fuel Heat Pump System (Upflow Coil) - Goodman,goodman
"S-GZV7SA4210,S-AHVE60DP1300,S-GTST-CW-WH-A",SOLACE 3.5 Ton 17.5 SEER2 R-32 Heat Pump System with Multi-Positional Air Handler,3.5 Ton 17.5 SEER2 R-32 Heat Pump System with Multi-Positional Air Handler - Solace,solace
"S-GZV7SA6010,S-AHVE60DP1300,S-GTST-CW-WH-A",SOLACE 5 Ton 17.5 SEER2 R-32 Heat Pump System with Multi-Positional Air Handler,5 Ton 17.5 SEER2 R-32 Heat Pump System with Multi-Positional Air Handler - Solace,solace
"GLZS4BA4210, AMST42CU13",GOODMAN 3.5 Ton 14.3 SEER2 R-32 Heat Pump System with Multi-Positional Air Handler,3.5 Ton 14.3 SEER2 R-32 Heat Pump System with Multi-Positional Air Handler - Goodman,goodman
R921V0403A17M4SCAP,"RHEEM R921V0403A17M4SCAP - 40,000 BTU 92% AFUE Single Stage Furnace","R921V0403A17M4SCAP - 40,000 BTU 92% AFUE Single Stage Furnace - Rheem",rheem
"GLXT7CA2410, CHPTA2426B3, GRVT800603BN",GOODMAN 2 Ton 17.2 SEER2 R-32 80% AFUE Gas Furnace Air Conditioning System (Horizontal Coil),2 Ton 17.2 SEER2 R-32 80% AFUE Gas Furnace Air Conditioning System (Horizontal Coil) - Goodman,goodman
R921T0855A21M4SNAS,"RHEEM R921T0855A21M4SNAS - 85,000 BTU 92% AFUE Single Stage Furnace","R921T0855A21M4SNAS - 85,000 BTU 92% AFUE Single Stage Furnace - Rheem",rheem
1886187041770673987,GOODMAN 5 Ton 16.2 SEER2 R-32 96% AFUE Gas Furnace Air Conditioning System (Upflow Coil),5 Ton 16.2 SEER2 R-32 96% AFUE Gas Furnace Air Conditioning System (Upflow Coil) - Goodman,goodman
WRX07521,RHEEM WRX07521 - 7.5 kW Electric Heat Kit,WRX07521 - 7.5 kW Electric Heat Kit - Rheem,rheem
CHPTA4230C3,Goodman CHPTA4230C3 2½ - 3½ Ton R-32 Evaporator Coil,CHPTA4230C3 2½ - 3½ Ton R-32 Evaporator Coil - Goodman,goodman
"GLZS5BA3610, GR9S800604BNA, CAPTA3626B3",GOODMAN 3 Ton 15.2 SEER2 R-32 80% AFUE Dual Fuel System (Upflow Coil),3 Ton 15.2 SEER2 R-32 80% AFUE Dual Fuel System (Upflow Coil) - Goodman,goodman
S-GLZS4BA2410,Solace 2 Ton 14.3 SEER2 R-32 Heat Pump - S-GLZS4BA2410,2 Ton 14.3 SEER2 R-32 Heat Pump - S-GLZS4BA2410 - Solace,solace
"GLXS4BA4210, GR9S920804CNA, CHPTA4230C3","Goodman 3.5 Ton Horizontal 92% Gas System 14.3 SEER2 21"" Wide R-32","3.5 Ton Horizontal 92% Gas System 14.3 SEER2 21"" Wide R-32 - Goodman",goodman
S-AWST30LU1310A,Solace 2.5 Ton R-32 Wall-Mount Air Handler - S-AWST30LU1310A,2.5 Ton R-32 Wall-Mount Air Handler - S-AWST30LU1310A - Solace,solace
CAPEA6030C3,Goodman 5 Ton R-32 Upflow Evaporator Coil - CAPEA6030C3,5 Ton R-32 Upflow Evaporator Coil - CAPEA6030C3 - Goodman,goodman
GLXS5BA3610,GOODMAN 3 Ton 15.2 SEER2 R-32 Air Conditioner — GLXS5BA3610,3 Ton 15.2 SEER2 R-32 Air Conditioner — GLXS5BA3610 - Goodman,goodman
"S-GLZS4BA3610,S-GR9S920603BNA,S-CHPTA3630B3",SOLACE 3 Ton 14.3 SEER2 R-32 92% AFUE Dual Fuel System (Horizontal Coil),3 Ton 14.3 SEER2 R-32 92% AFUE Dual Fuel System (Horizontal Coil) - Solace,solace
17931045152942708617,GOODMAN 4 Ton 16.2 SEER2 R-32 96% AFUE Gas Furnace Air Conditioning System (Horizontal Coil),4 Ton 16.2 SEER2 R-32 96% AFUE Gas Furnace Air Conditioning System (Horizontal Coil) - Goodman,goodman
