keyword,match_type,campaign,ad_group,clicks,impressions,cost,conversions,conv_value,roas,action
buy comfort direct,BROAD,BCD Branded,Branded Terms,223,883,1031.042095,24.731121,23626.0718398,22.914749993597496,MIGRATE TO EXACT
buycomfortdirect.com,BROAD,BCD Branded,Branded Terms,35,491,271.540743,1.0,450.0,1.657209872184816,MIGRATE TO EXACT
